variable,regressor,regressor__n_neighbors,pca,scaler,regressor__weights,regressor__metric,score,std
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.50348336,0.04890913
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.51532573,0.06010042
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.53361524,0.06602296
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.50269525,0.04875285
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.5149902,0.05919003
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.53295213,0.06559867
dwi_sin,KNeighborsRegressor,10,None,None,uniform,euclidean,-0.49698555,0.04972775
dwi_sin,KNeighborsRegressor,10,None,None,uniform,manhattan,-0.50459995,0.05817439
dwi_sin,KNeighborsRegressor,10,None,None,uniform,chebyshev,-0.51169042,0.06146348
dwi_sin,KNeighborsRegressor,10,None,None,distance,euclidean,-0.49575398,0.04942657
dwi_sin,KNeighborsRegressor,10,None,None,distance,manhattan,-0.5040888,0.05815676
dwi_sin,KNeighborsRegressor,10,None,None,distance,chebyshev,-0.51086467,0.0613134
dwi_sin,KNeighborsRegressor,10,None,StandardScaler,uniform,euclidean,-0.4866279,0.05189205
dwi_sin,KNeighborsRegressor,10,None,StandardScaler,uniform,manhattan,-0.49288208,0.061108
dwi_sin,KNeighborsRegressor,10,None,StandardScaler,uniform,chebyshev,-0.50106996,0.062055
dwi_sin,KNeighborsRegressor,10,None,StandardScaler,distance,euclidean,-0.48534145,0.05142802
dwi_sin,KNeighborsRegressor,10,None,StandardScaler,distance,manhattan,-0.49229943,0.06100868
dwi_sin,KNeighborsRegressor,10,None,StandardScaler,distance,chebyshev,-0.50007279,0.0621043
dwi_sin,KNeighborsRegressor,10,None,RobustScaler,uniform,euclidean,-0.49753885,0.05195865
dwi_sin,KNeighborsRegressor,10,None,RobustScaler,uniform,manhattan,-0.50383435,0.06014323
dwi_sin,KNeighborsRegressor,10,None,RobustScaler,uniform,chebyshev,-0.50819057,0.06174032
dwi_sin,KNeighborsRegressor,10,None,RobustScaler,distance,euclidean,-0.4969059,0.0510411
dwi_sin,KNeighborsRegressor,10,None,RobustScaler,distance,manhattan,-0.5037804,0.06034491
dwi_sin,KNeighborsRegressor,10,None,RobustScaler,distance,chebyshev,-0.50787488,0.06198556
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),None,uniform,euclidean,-0.48829805,0.05402928
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),None,uniform,manhattan,-0.49198735,0.06221743
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),None,uniform,chebyshev,-0.4975379,0.06278379
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),None,distance,euclidean,-0.48723647,0.05306753
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),None,distance,manhattan,-0.49182866,0.06217171
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),None,distance,chebyshev,-0.49700828,0.06283014
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.54928354,0.04315912
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.52633581,0.06019599
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.54096876,0.06583555
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.5463034,0.04332617
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.52444186,0.0600779
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.53869169,0.06631287
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.54490789,0.04529789
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.51704867,0.05994635
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.53178599,0.06789971
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.54109213,0.04532437
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.51497857,0.05989904
dwi_sin,KNeighborsRegressor,10,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.52938553,0.06832931
dwi_sin,KNeighborsRegressor,15,None,None,uniform,euclidean,-0.49705518,0.04976791
dwi_sin,KNeighborsRegressor,15,None,None,uniform,manhattan,-0.50376269,0.06080902
dwi_sin,KNeighborsRegressor,15,None,None,uniform,chebyshev,-0.51388716,0.06491979
dwi_sin,KNeighborsRegressor,15,None,None,distance,euclidean,-0.49578484,0.05006282
dwi_sin,KNeighborsRegressor,15,None,None,distance,manhattan,-0.50287988,0.06075102
dwi_sin,KNeighborsRegressor,15,None,None,distance,chebyshev,-0.51316851,0.06458716
dwi_sin,KNeighborsRegressor,15,None,StandardScaler,uniform,euclidean,-0.48663126,0.05312505
dwi_sin,KNeighborsRegressor,15,None,StandardScaler,uniform,manhattan,-0.49195327,0.0615965
dwi_sin,KNeighborsRegressor,15,None,StandardScaler,uniform,chebyshev,-0.50300574,0.06349919
dwi_sin,KNeighborsRegressor,15,None,StandardScaler,distance,euclidean,-0.48522837,0.05302151
dwi_sin,KNeighborsRegressor,15,None,StandardScaler,distance,manhattan,-0.49118529,0.0616786
dwi_sin,KNeighborsRegressor,15,None,StandardScaler,distance,chebyshev,-0.50184281,0.06370858
dwi_sin,KNeighborsRegressor,15,None,RobustScaler,uniform,euclidean,-0.49633665,0.05269881
dwi_sin,KNeighborsRegressor,15,None,RobustScaler,uniform,manhattan,-0.50208085,0.06094114
