variable,regressor__n_estimators,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,regressor__max_features,score,std,regressor
dwi_cos,600,None,10,4,log2,-0.40568208,0.03720635,RandomForestRegressor
dwi_cos,600,20.0,2,1,sqrt,-0.40599333,0.03667759,RandomForestRegressor
dwi_cos,600,20.0,2,1,log2,-0.4054397,0.0369919,RandomForestRegressor
dwi_cos,600,20.0,2,4,sqrt,-0.40493151,0.03705008,RandomForestRegressor
dwi_cos,600,20.0,2,4,log2,-0.40598085,0.03762476,RandomForestRegressor
dwi_cos,600,20.0,10,1,sqrt,-0.40566853,0.03707208,RandomForestRegressor
dwi_cos,600,20.0,10,1,log2,-0.40583135,0.03663887,RandomForestRegressor
dwi_cos,600,20.0,10,4,sqrt,-0.40567514,0.03744065,RandomForestRegressor
dwi_cos,600,20.0,10,4,log2,-0.40556146,0.03740981,RandomForestRegressor
wind_max,100,None,2,1,sqrt,-2.34208962,0.36558869,RandomForestRegressor
wind_max,100,None,2,1,log2,-2.321456,0.37110187,RandomForestRegressor
wind_max,100,None,2,4,sqrt,-2.32712571,0.36479642,RandomForestRegressor
wind_max,100,None,2,4,log2,-2.33742827,0.37500526,RandomForestRegressor
wind_max,100,None,10,1,sqrt,-2.34076018,0.3654306,RandomForestRegressor
wind_max,100,None,10,1,log2,-2.34078826,0.3711422,RandomForestRegressor
wind_max,100,None,10,4,sqrt,-2.34109692,0.35813586,RandomForestRegressor
wind_max,100,None,10,4,log2,-2.32666865,0.35803202,RandomForestRegressor
wind_max,100,20.0,2,1,sqrt,-2.3256808,0.36059288,RandomForestRegressor
wind_max,100,20.0,2,1,log2,-2.33484344,0.35720435,RandomForestRegressor
wind_max,100,20.0,2,4,sqrt,-2.32332203,0.36932067,RandomForestRegressor
wind_max,100,20.0,2,4,log2,-2.32574538,0.36755215,RandomForestRegressor
wind_max,100,20.0,10,1,sqrt,-2.33281987,0.37309641,RandomForestRegressor
wind_max,100,20.0,10,1,log2,-2.32698024,0.36410498,RandomForestRegressor
wind_max,100,20.0,10,4,sqrt,-2.31938326,0.36958972,RandomForestRegressor
wind_max,100,20.0,10,4,log2,-2.3216904,0.37267989,RandomForestRegressor
wind_max,200,None,2,1,sqrt,-2.32964242,0.37554418,RandomForestRegressor
wind_max,200,None,2,1,log2,-2.32278846,0.36904065,RandomForestRegressor
wind_max,200,None,2,4,sqrt,-2.32119631,0.37012945,RandomForestRegressor
wind_max,200,None,2,4,log2,-2.32046276,0.36818942,RandomForestRegressor
wind_max,200,None,10,1,sqrt,-2.31862824,0.37012676,RandomForestRegressor
wind_max,200,None,10,1,log2,-2.3295622,0.36240737,RandomForestRegressor
wind_max,200,None,10,4,sqrt,-2.3244498,0.36412797,RandomForestRegressor
wind_max,200,None,10,4,log2,-2.31349176,0.36729551,RandomForestRegressor
wind_max,200,20.0,2,1,sqrt,-2.33920822,0.36844136,RandomForestRegressor
wind_max,200,20.0,2,1,log2,-2.33789048,0.36870885,RandomForestRegressor
wind_max,200,20.0,2,4,sqrt,-2.328855,0.37540241,RandomForestRegressor
wind_max,200,20.0,2,4,log2,-2.32943897,0.3763047,RandomForestRegressor
wind_max,200,20.0,10,1,sqrt,-2.32920523,0.37333875,RandomForestRegressor
wind_max,200,20.0,10,1,log2,-2.33520344,0.37036019,RandomForestRegressor
wind_max,200,20.0,10,4,sqrt,-2.33729576,0.36668047,RandomForestRegressor
wind_max,200,20.0,10,4,log2,-2.33995671,0.36357693,RandomForestRegressor
wind_max,300,None,2,1,sqrt,-2.32552667,0.35638795,RandomForestRegressor
wind_max,300,None,2,1,log2,-2.34515783,0.36653248,RandomForestRegressor
wind_max,300,None,2,4,sqrt,-2.32567887,0.35848628,RandomForestRegressor
wind_max,300,None,2,4,log2,-2.32228533,0.36336005,RandomForestRegressor
wind_max,300,None,10,1,sqrt,-2.33886307,0.37335861,RandomForestRegressor
wind_max,300,None,10,1,log2,-2.325277,0.36849085,RandomForestRegressor
wind_max,300,None,10,4,sqrt,-2.32203186,0.37640765,RandomForestRegressor
wind_max,300,None,10,4,log2,-2.32682469,0.36820807,RandomForestRegressor
wind_max,300,20.0,2,1,sqrt,-2.3221919,0.37145658,RandomForestRegressor
wind_max,300,20.0,2,1,log2,-2.32566358,0.37329543,RandomForestRegressor
wind_max,300,20.0,2,4,sqrt,-2.32698804,0.36721154,RandomForestRegressor
