variable,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,regressor__min_samples_leaf,regressor__subsample,regressor__max_features,score,std
dwi_sin,600,0.1,5.0,20,0.8,sqrt,-0.48065886,0.0689006
dwi_sin,600,0.1,5.0,20,0.8,log2,-0.48743721,0.06974446
dwi_cos,100,0.05,None,10,1.0,sqrt,-0.41154938,0.03708432
dwi_cos,100,0.05,None,10,1.0,log2,-0.41072505,0.03774995
dwi_cos,100,0.05,None,10,0.8,sqrt,-0.41194041,0.03679824
dwi_cos,100,0.05,None,10,0.8,log2,-0.4155076,0.03531778
dwi_cos,100,0.05,None,20,1.0,sqrt,-0.41281699,0.0384459
dwi_cos,100,0.05,None,20,1.0,log2,-0.41605366,0.03637302
dwi_cos,100,0.05,None,20,0.8,sqrt,-0.41172611,0.03866646
dwi_cos,100,0.05,None,20,0.8,log2,-0.41348071,0.03682867
dwi_cos,100,0.05,5.0,10,1.0,sqrt,-0.41379969,0.03629377
dwi_cos,100,0.05,5.0,10,1.0,log2,-0.4164355,0.03772489
dwi_cos,100,0.05,5.0,10,0.8,sqrt,-0.41587297,0.03963804
dwi_cos,100,0.05,5.0,10,0.8,log2,-0.4146202,0.03784258
dwi_cos,100,0.05,5.0,20,1.0,sqrt,-0.41136689,0.03828118
dwi_cos,100,0.05,5.0,20,1.0,log2,-0.41332156,0.03817417
dwi_cos,100,0.05,5.0,20,0.8,sqrt,-0.41181958,0.03509066
dwi_cos,100,0.05,5.0,20,0.8,log2,-0.41529717,0.03612243
dwi_cos,100,0.1,None,10,1.0,sqrt,-0.41415391,0.03645701
dwi_cos,100,0.1,None,10,1.0,log2,-0.41608161,0.03412844
dwi_cos,100,0.1,None,10,0.8,sqrt,-0.41214154,0.03793012
dwi_cos,100,0.1,None,10,0.8,log2,-0.41122212,0.03860733
dwi_cos,100,0.1,None,20,1.0,sqrt,-0.41432647,0.03529045
dwi_cos,100,0.1,None,20,1.0,log2,-0.41360524,0.03744573
dwi_cos,100,0.1,None,20,0.8,sqrt,-0.4132123,0.03701852
dwi_cos,100,0.1,None,20,0.8,log2,-0.41617282,0.03690359
dwi_cos,100,0.1,5.0,10,1.0,sqrt,-0.40690525,0.03758268
dwi_cos,100,0.1,5.0,10,1.0,log2,-0.40479678,0.03704605
dwi_cos,100,0.1,5.0,10,0.8,sqrt,-0.40671659,0.03694399
dwi_cos,100,0.1,5.0,10,0.8,log2,-0.40809728,0.03783523
dwi_cos,100,0.1,5.0,20,1.0,sqrt,-0.40898565,0.03891934
dwi_cos,100,0.1,5.0,20,1.0,log2,-0.40891992,0.03894131
dwi_cos,100,0.1,5.0,20,0.8,sqrt,-0.4057261,0.03815998
dwi_cos,100,0.1,5.0,20,0.8,log2,-0.40578456,0.03824023
dwi_cos,200,0.05,None,10,1.0,sqrt,-0.40791988,0.03823421
dwi_cos,200,0.05,None,10,1.0,log2,-0.40856151,0.03735728
dwi_cos,200,0.05,None,10,0.8,sqrt,-0.40910554,0.03779521
dwi_cos,200,0.05,None,10,0.8,log2,-0.41001329,0.03827917
dwi_cos,200,0.05,None,20,1.0,sqrt,-0.40672365,0.03788176
dwi_cos,200,0.05,None,20,1.0,log2,-0.40645044,0.03918719
dwi_cos,200,0.05,None,20,0.8,sqrt,-0.40992904,0.03755952
dwi_cos,200,0.05,None,20,0.8,log2,-0.40839991,0.03920594
dwi_cos,200,0.05,5.0,10,1.0,sqrt,-0.40795443,0.03737494
dwi_cos,200,0.05,5.0,10,1.0,log2,-0.41020671,0.04001325
dwi_cos,200,0.05,5.0,10,0.8,sqrt,-0.40625025,0.03859099
dwi_cos,200,0.05,5.0,10,0.8,log2,-0.40689324,0.03594296
dwi_cos,200,0.05,5.0,20,1.0,sqrt,-0.40923525,0.03789996
dwi_cos,200,0.05,5.0,20,1.0,log2,-0.40823455,0.03817556
dwi_cos,200,0.05,5.0,20,0.8,sqrt,-0.40832542,0.03839793
dwi_cos,200,0.05,5.0,20,0.8,log2,-0.41141823,0.03829791
dwi_cos,200,0.1,None,10,1.0,sqrt,-0.41796415,0.03638551
dwi_cos,200,0.1,None,10,1.0,log2,-0.41812644,0.03718795
dwi_cos,200,0.1,None,10,0.8,sqrt,-0.41887634,0.03547923
dwi_cos,200,0.1,None,10,0.8,log2,-0.41949,0.03553389
dwi_cos,200,0.1,None,20,1.0,sqrt,-0.41532098,0.03757203
dwi_cos,200,0.1,None,20,1.0,log2,-0.42177533,0.03566222
dwi_cos,200,0.1,None,20,0.8,sqrt,-0.41793385,0.03614666
dwi_cos,200,0.1,None,20,0.8,log2,-0.41866362,0.03511634
dwi_cos,200,0.1,5.0,10,1.0,sqrt,-0.41964951,0.03720275
dwi_cos,200,0.1,5.0,10,1.0,log2,-0.42130528,0.03828465
dwi_cos,200,0.1,5.0,10,0.8,sqrt,-0.41672881,0.03604201
dwi_cos,200,0.1,5.0,10,0.8,log2,-0.42144673,0.0332158
dwi_cos,200,0.1,5.0,20,1.0,sqrt,-0.41971595,0.03525485
dwi_cos,200,0.1,5.0,20,1.0,log2,-0.42054067,0.03698409
dwi_cos,200,0.1,5.0,20,0.8,sqrt,-0.41716727,0.03615152
dwi_cos,200,0.1,5.0,20,0.8,log2,-0.42084892,0.03692459
dwi_cos,300,0.05,None,10,1.0,sqrt,-0.41606129,0.03696521
dwi_cos,300,0.05,None,10,1.0,log2,-0.42331156,0.03514867
dwi_cos,300,0.05,None,10,0.8,sqrt,-0.41593222,0.03782215
dwi_cos,300,0.05,None,10,0.8,log2,-0.42097299,0.03614406
dwi_cos,300,0.05,None,20,1.0,sqrt,-0.41991861,0.03447311
dwi_cos,300,0.05,None,20,1.0,log2,-0.42291264,0.03507479
dwi_cos,300,0.05,None,20,0.8,sqrt,-0.41728137,0.03523021
dwi_cos,300,0.05,None,20,0.8,log2,-0.41745869,0.03983584
dwi_cos,300,0.05,5.0,10,1.0,sqrt,-0.40990058,0.03830812
dwi_cos,300,0.05,5.0,10,1.0,log2,-0.41139313,0.03961699
dwi_cos,300,0.05,5.0,10,0.8,sqrt,-0.4116181,0.03899134
dwi_cos,300,0.05,5.0,10,0.8,log2,-0.41320954,0.03669451
dwi_cos,300,0.05,5.0,20,1.0,sqrt,-0.41732896,0.03630956
dwi_cos,300,0.05,5.0,20,1.0,log2,-0.41852054,0.03692999
dwi_cos,300,0.05,5.0,20,0.8,sqrt,-0.41003485,0.03773354
dwi_cos,300,0.05,5.0,20,0.8,log2,-0.40996172,0.04097359
dwi_cos,300,0.1,None,10,1.0,sqrt,-0.41200697,0.03807235
dwi_cos,300,0.1,None,10,1.0,log2,-0.41502899,0.0380932
dwi_cos,300,0.1,None,10,0.8,sqrt,-0.41498922,0.03496703
dwi_cos,300,0.1,None,10,0.8,log2,-0.41643918,0.03768713
dwi_cos,300,0.1,None,20,1.0,sqrt,-0.41041436,0.03624762
dwi_cos,300,0.1,None,20,1.0,log2,-0.41070075,0.03866631
dwi_cos,300,0.1,None,20,0.8,sqrt,-0.41648082,0.0375674
dwi_cos,300,0.1,None,20,0.8,log2,-0.41636848,0.03721097
dwi_cos,300,0.1,5.0,10,1.0,sqrt,-0.41691418,0.03660203
dwi_cos,300,0.1,5.0,10,1.0,log2,-0.41956469,0.03635013
dwi_cos,300,0.1,5.0,10,0.8,sqrt,-0.40836263,0.03827005
dwi_cos,300,0.1,5.0,10,0.8,log2,-0.41081989,0.04017768
dwi_cos,300,0.1,5.0,20,1.0,sqrt,-0.41392809,0.03701694
dwi_cos,300,0.1,5.0,20,1.0,log2,-0.4123063,0.03526132
dwi_cos,300,0.1,5.0,20,0.8,sqrt,-0.41741323,0.03852033
dwi_cos,300,0.1,5.0,20,0.8,log2,-0.41658266,0.03760165
dwi_cos,400,0.05,None,10,1.0,sqrt,-0.41349279,0.03629113
dwi_cos,400,0.05,None,10,1.0,log2,-0.41551472,0.03501903
dwi_cos,400,0.05,None,10,0.8,sqrt,-0.41555513,0.03702866
dwi_cos,400,0.05,None,10,0.8,log2,-0.41524068,0.03819656
dwi_cos,400,0.05,None,20,1.0,sqrt,-0.41300789,0.03636737
dwi_cos,400,0.05,None,20,1.0,log2,-0.415096,0.03603319
dwi_cos,400,0.05,None,20,0.8,sqrt,-0.41458949,0.03720709
dwi_cos,400,0.05,None,20,0.8,log2,-0.41658925,0.03681691
dwi_cos,400,0.05,5.0,10,1.0,sqrt,-0.40959047,0.03667771
dwi_cos,400,0.05,5.0,10,1.0,log2,-0.41035469,0.03789184
dwi_cos,400,0.05,5.0,10,0.8,sqrt,-0.40914152,0.03751465
dwi_cos,400,0.05,5.0,10,0.8,log2,-0.4109485,0.03728834
dwi_cos,400,0.05,5.0,20,1.0,sqrt,-0.41201756,0.03576299
dwi_cos,400,0.05,5.0,20,1.0,log2,-0.41005794,0.03713934
dwi_cos,400,0.05,5.0,20,0.8,sqrt,-0.41147333,0.03734131
dwi_cos,400,0.05,5.0,20,0.8,log2,-0.41237529,0.03699418
dwi_cos,400,0.1,None,10,1.0,sqrt,-0.41540133,0.03660229
dwi_cos,400,0.1,None,10,1.0,log2,-0.42009526,0.03888462
dwi_cos,400,0.1,None,10,0.8,sqrt,-0.42004371,0.0354085
dwi_cos,400,0.1,None,10,0.8,log2,-0.42204677,0.03607985
dwi_cos,400,0.1,None,20,1.0,sqrt,-0.41828391,0.03614768
dwi_cos,400,0.1,None,20,1.0,log2,-0.42390964,0.03430426
dwi_cos,400,0.1,None,20,0.8,sqrt,-0.42010412,0.03733788
dwi_cos,400,0.1,None,20,0.8,log2,-0.42403075,0.03329477
