variable,source_file,regressor,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,score,std
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,1,-2.67868696,0.35383284
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,2,-2.66440966,0.34714543
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,4,-2.60933195,0.35150091
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,1,-2.17586653,0.46566461
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,2,-2.17775442,0.46540738
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,4,-2.17196923,0.46445911
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,1,-2.16766907,0.46519527
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,2,-2.17809108,0.46781505
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,4,-2.17312346,0.46906336
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,1,-2.17529224,0.46677966
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,2,-2.169426,0.46779593
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,4,-2.23472422,0.40282608
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,1,-2.2373232,0.40175425
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,2,-2.23714648,0.40210257
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,4,-2.23755152,0.40198631
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,1,-2.58173379,0.43336782
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,2,-2.54104373,0.41021333
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,4,-2.53137551,0.42895779
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,1,-2.47458028,0.4256938
