variable,scaler,regressor__hidden_layer_sizes,regressor__activation,regressor__solver,regressor__learning_rate_init,regressor__alpha,regressor__batch_size,score,std
dwi_cos,None,"(100,)",tanh,adam,0.001,0.0001,auto,-0.4425179,0.04475982
dwi_cos,None,"(100,)",tanh,adam,0.001,0.0001,32,-0.46060374,0.04005615
dwi_cos,None,"(100,)",tanh,adam,0.001,0.001,auto,-0.45062967,0.04478945
dwi_cos,None,"(100,)",tanh,adam,0.001,0.001,32,-0.45351689,0.03784454
dwi_cos,None,"(100,)",tanh,adam,0.01,0.0001,auto,-0.44388905,0.03817208
dwi_cos,None,"(100,)",tanh,adam,0.01,0.0001,32,-0.45358822,0.03612181
dwi_cos,None,"(100,)",tanh,adam,0.01,0.001,auto,-0.43309882,0.05231617
dwi_cos,None,"(100,)",tanh,adam,0.01,0.001,32,-0.43518703,0.0335066
dwi_cos,None,"(100,)",logistic,adam,0.001,0.0001,auto,-0.47026667,0.04516773
dwi_cos,None,"(100,)",logistic,adam,0.001,0.0001,32,-0.45489175,0.03837795
dwi_cos,None,"(100,)",logistic,adam,0.001,0.001,auto,-0.46558337,0.03691346
dwi_cos,None,"(100,)",logistic,adam,0.001,0.001,32,-0.46609316,0.036912
dwi_cos,None,"(100,)",logistic,adam,0.01,0.0001,auto,-0.45192957,0.03984756
dwi_cos,None,"(100,)",logistic,adam,0.01,0.0001,32,-0.46714159,0.04804065
dwi_cos,None,"(100,)",logistic,adam,0.01,0.001,auto,-0.45791823,0.03335597
dwi_cos,None,"(100,)",logistic,adam,0.01,0.001,32,-0.45387821,0.03871857
dwi_cos,StandardScaler,"(100,)",relu,adam,0.001,0.0001,auto,-0.45234509,0.03635098
dwi_cos,StandardScaler,"(100,)",relu,adam,0.001,0.0001,32,-0.46209008,0.03894452
dwi_cos,StandardScaler,"(100,)",relu,adam,0.001,0.001,auto,-0.46702725,0.04001638
dwi_cos,StandardScaler,"(100,)",relu,adam,0.001,0.001,32,-0.46161426,0.03341758
dwi_cos,StandardScaler,"(100,)",relu,adam,0.01,0.0001,auto,-0.45234603,0.03541154
dwi_cos,StandardScaler,"(100,)",relu,adam,0.01,0.0001,32,-0.45758281,0.04066663
dwi_cos,StandardScaler,"(100,)",relu,adam,0.01,0.001,auto,-0.4489981,0.04233861
dwi_cos,StandardScaler,"(100,)",relu,adam,0.01,0.001,32,-0.45314432,0.03043118
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.001,0.0001,auto,-0.42349827,0.03787974
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.001,0.0001,32,-0.43241542,0.04190978
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.001,0.001,auto,-0.44545113,0.03199406
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.001,0.001,32,-0.44319414,0.05141354
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.01,0.0001,auto,-0.43174786,0.04008806
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.01,0.0001,32,-0.43138011,0.04281391
