variable,scaler,regressor__hidden_layers,regressor__activation,regressor__lr,regressor__epochs,regressor__batch_size,score,std
dwi_sin,None,"(30, 10)",Sigmoid,0.0005,100,32,-0.51241159,0.06402676
dwi_sin,None,"(30, 10)",Sigmoid,0.001,50,16,-0.48436782,0.04920077
dwi_sin,None,"(30, 10)",Sigmoid,0.001,50,32,-0.50916478,0.06199536
dwi_sin,None,"(30, 10)",Sigmoid,0.001,100,16,-0.48407829,0.05600391
dwi_sin,None,"(30, 10)",Sigmoid,0.001,100,32,-0.51693275,0.06623242
dwi_sin,None,"(30, 10)",Sigmoid,0.01,50,16,-0.49626947,0.05007448
dwi_sin,None,"(30, 10)",Sigmoid,0.01,50,32,-0.53301265,0.06106355
dwi_sin,None,"(30, 10)",Sigmoid,0.01,100,16,-0.4928965,0.04987691
dwi_sin,None,"(30, 10)",Sigmoid,0.01,100,32,-0.52395919,0.06140437
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.0005,50,16,-0.47265185,0.05267927
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.0005,50,32,-0.49448621,0.06386871
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.0005,100,16,-0.47954312,0.05505597
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.0005,100,32,-0.50484686,0.06328202
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.001,50,16,-0.48916116,0.05165534
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.001,50,32,-0.52349956,0.06189743
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.001,100,16,-0.47861151,0.05475893
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.001,100,32,-0.50954217,0.06354792
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.01,50,16,-0.49261033,0.04756331
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.01,50,32,-0.52655546,0.06501075
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.01,100,16,-0.50244963,0.05896412
dwi_sin,StandardScaler,"(30, 10)",ReLU,0.01,100,32,-0.52085979,0.05824218
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.0005,50,16,-0.46089742,0.05709412
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.0005,50,32,-0.46987367,0.0632395
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.0005,100,16,-0.46465419,0.05645855
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.0005,100,32,-0.48119323,0.06004823
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.001,50,16,-0.48337349,0.05612035
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.001,50,32,-0.50246296,0.05988511
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.001,100,16,-0.46528701,0.05688818
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.001,100,32,-0.48250172,0.06262575
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.01,50,16,-0.47035551,0.05777104
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.01,50,32,-0.49923974,0.06969116
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.01,100,16,-0.48813464,0.05121166
dwi_sin,StandardScaler,"(30, 10)",Tanh,0.01,100,32,-0.52174523,0.07416683
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.0005,50,16,-0.46193598,0.05553286
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.0005,50,32,-0.46739064,0.05883536
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.0005,100,16,-0.46191179,0.05611367
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.0005,100,32,-0.47535314,0.06115704
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.001,50,16,-0.47693371,0.05851359
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.001,50,32,-0.50261534,0.0714862
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.001,100,16,-0.4629043,0.0559276
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.001,100,32,-0.47585065,0.06115621
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.01,50,16,-0.46748096,0.05777232
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.01,50,32,-0.49372355,0.06217095
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.01,100,16,-0.49282252,0.04894007
dwi_sin,StandardScaler,"(30, 10)",Sigmoid,0.01,100,32,-0.53317914,0.06757785
dwi_sin,None,"(50, 20)",ReLU,0.0005,50,16,-0.48172555,0.05047259
dwi_sin,None,"(50, 20)",ReLU,0.0005,50,32,-0.51148643,0.0628703
dwi_sin,None,"(50, 20)",ReLU,0.0005,100,16,-0.49277019,0.04529167
dwi_sin,None,"(50, 20)",ReLU,0.0005,100,32,-0.52010694,0.06350525
dwi_sin,None,"(50, 20)",ReLU,0.001,50,16,-0.47485647,0.05129362
dwi_sin,None,"(50, 20)",ReLU,0.001,50,32,-0.5124044,0.06106274
dwi_sin,None,"(50, 20)",ReLU,0.001,100,16,-0.49199954,0.05679799
dwi_sin,None,"(50, 20)",ReLU,0.001,100,32,-0.54696863,0.07780524
dwi_sin,None,"(50, 20)",ReLU,0.01,50,16,-0.50094909,0.04737846
dwi_sin,None,"(50, 20)",ReLU,0.01,50,32,-0.54019021,0.05914293
dwi_sin,None,"(50, 20)",ReLU,0.01,100,16,-0.48009515,0.05989792
dwi_sin,None,"(50, 20)",ReLU,0.01,100,32,-0.51260685,0.06419312
dwi_sin,None,"(50, 20)",Tanh,0.0005,50,16,-0.47895691,0.04750494
dwi_sin,None,"(50, 20)",Tanh,0.0005,50,32,-0.50692433,0.07901756
dwi_sin,None,"(50, 20)",Tanh,0.0005,100,16,-0.48438571,0.04657685
dwi_sin,None,"(50, 20)",Tanh,0.0005,100,32,-0.51224071,0.062032
dwi_sin,None,"(50, 20)",Tanh,0.001,50,16,-0.48004339,0.04981586
dwi_sin,None,"(50, 20)",Tanh,0.001,50,32,-0.50026501,0.06179178
dwi_sin,None,"(50, 20)",Tanh,0.001,100,16,-0.48832946,0.05017879
dwi_sin,None,"(50, 20)",Tanh,0.001,100,32,-0.51965676,0.05605486
dwi_sin,None,"(50, 20)",Tanh,0.01,50,16,-0.49520965,0.04914303
dwi_sin,None,"(50, 20)",Tanh,0.01,50,32,-0.5439055,0.07982496
dwi_sin,None,"(50, 20)",Tanh,0.01,100,16,-0.48089396,0.05034977
dwi_sin,None,"(50, 20)",Tanh,0.01,100,32,-0.52922635,0.06595265
dwi_sin,None,"(50, 20)",Sigmoid,0.0005,50,16,-0.48345513,0.05748743
dwi_sin,None,"(50, 20)",Sigmoid,0.0005,50,32,-0.51779642,0.05941122
dwi_sin,None,"(50, 20)",Sigmoid,0.0005,100,16,-0.49386351,0.04988282
dwi_sin,None,"(50, 20)",Sigmoid,0.0005,100,32,-0.5339455,0.06352882
dwi_sin,None,"(50, 20)",Sigmoid,0.001,50,16,-0.48589413,0.06051871
dwi_sin,None,"(50, 20)",Sigmoid,0.001,50,32,-0.51497714,0.06329609
dwi_sin,None,"(50, 20)",Sigmoid,0.001,100,16,-0.51057034,0.04974082
dwi_sin,None,"(50, 20)",Sigmoid,0.001,100,32,-0.54384374,0.07138996
dwi_sin,None,"(50, 20)",Sigmoid,0.01,50,16,-0.51017444,0.05254227
dwi_sin,None,"(50, 20)",Sigmoid,0.01,50,32,-0.56379252,0.06654257
dwi_sin,None,"(50, 20)",Sigmoid,0.01,100,16,-0.49744299,0.05518963
dwi_sin,None,"(50, 20)",Sigmoid,0.01,100,32,-0.52409706,0.07355379
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.0005,50,16,-0.48072783,0.05416683
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.0005,50,32,-0.50608561,0.06303491
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.0005,100,16,-0.48786919,0.04970572
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.0005,100,32,-0.52945512,0.06035929
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.001,50,16,-0.50212134,0.04939232
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.001,50,32,-0.52465361,0.06035322
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.001,100,16,-0.48997735,0.05330105
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.001,100,32,-0.53356245,0.06317388
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.01,50,16,-0.50794605,0.05475369
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.01,50,32,-0.55191455,0.06551494
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.01,100,16,-0.51078542,0.05559887
dwi_sin,StandardScaler,"(50, 20)",ReLU,0.01,100,32,-0.54349867,0.05854876
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.0005,50,16,-0.46480858,0.05776354
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.0005,50,32,-0.4781876,0.05911963
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.0005,100,16,-0.4734803,0.05398437
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.0005,100,32,-0.497742,0.05646673
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.001,50,16,-0.49037752,0.05261717
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.001,50,32,-0.52048982,0.06172606
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.001,100,16,-0.47529378,0.05392278
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.001,100,32,-0.49138643,0.06273635
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.01,50,16,-0.48385795,0.05959013
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.01,50,32,-0.51898917,0.06342669
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.01,100,16,-0.50630062,0.06026561
dwi_sin,StandardScaler,"(50, 20)",Tanh,0.01,100,32,-0.53323873,0.06732582
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.0005,50,16,-0.46435042,0.05664748
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.0005,50,32,-0.46989075,0.0590075
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.0005,100,16,-0.46805733,0.05734779
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.0005,100,32,-0.48616369,0.06358356
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.001,50,16,-0.49166418,0.05283835
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.001,50,32,-0.52361642,0.06782208
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.001,100,16,-0.46967179,0.05899231
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.001,100,32,-0.48952754,0.06685304
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.01,50,16,-0.47803106,0.05656738
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.01,50,32,-0.50785764,0.06083258
dwi_sin,StandardScaler,"(50, 20)",Sigmoid,0.01,100,16,-0.51705756,0.05375241
