variable,regressor,scaler,pca,regressor_C,regressor_epsilon,regressor_kernel,regressor_loss,nystroem_n_components,score,std
dwi_sin,SDG,None,None,0.1,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.1,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.1,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.0001,0.01,None,epsilon_insensitive,100,-0.70786329,0.02741248
dwi_sin,SDG,None,PCA,0.0001,0.01,None,epsilon_insensitive,150,-0.69656634,0.02893319
dwi_sin,SDG,None,PCA,0.0001,0.01,None,squared_epsilon_insensitive,100,-0.71047192,0.02757055
dwi_sin,SDG,None,PCA,0.0001,0.01,None,squared_epsilon_insensitive,150,-0.67547267,0.03508599
dwi_sin,SDG,None,PCA,0.0001,0.1,None,epsilon_insensitive,100,-0.71166244,0.03559817
dwi_sin,SDG,None,PCA,0.0001,0.1,None,epsilon_insensitive,150,-0.69756869,0.03277944
dwi_sin,SDG,None,PCA,0.0001,0.1,None,squared_epsilon_insensitive,100,-0.71342664,0.02780465
dwi_sin,SDG,None,PCA,0.0001,0.1,None,squared_epsilon_insensitive,150,-0.68101933,0.02977246
dwi_sin,SDG,None,PCA,0.0001,0.2,None,epsilon_insensitive,100,-0.71338443,0.04838853
dwi_sin,SDG,None,PCA,0.0001,0.2,None,epsilon_insensitive,150,-0.69748484,0.04453162
dwi_sin,SDG,None,PCA,0.0001,0.2,None,squared_epsilon_insensitive,100,-0.71090915,0.02799914
dwi_sin,SDG,None,PCA,0.0001,0.2,None,squared_epsilon_insensitive,150,-0.68880812,0.02769213
dwi_sin,SDG,None,PCA,0.0001,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.0001,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.0001,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.0001,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.001,0.01,None,epsilon_insensitive,100,-0.70864924,0.02772055
dwi_sin,SDG,None,PCA,0.001,0.01,None,epsilon_insensitive,150,-0.69867211,0.02717085
dwi_sin,SDG,None,PCA,0.001,0.01,None,squared_epsilon_insensitive,100,-0.71221653,0.0274864
dwi_sin,SDG,None,PCA,0.001,0.01,None,squared_epsilon_insensitive,150,-0.68356374,0.02835675
dwi_sin,SDG,None,PCA,0.001,0.1,None,epsilon_insensitive,100,-0.71179758,0.03379759
dwi_sin,SDG,None,PCA,0.001,0.1,None,epsilon_insensitive,150,-0.69592691,0.03257641
dwi_sin,SDG,None,PCA,0.001,0.1,None,squared_epsilon_insensitive,100,-0.71181781,0.0259095
dwi_sin,SDG,None,PCA,0.001,0.1,None,squared_epsilon_insensitive,150,-0.68199063,0.02963221
dwi_sin,SDG,None,PCA,0.001,0.2,None,epsilon_insensitive,100,-0.71392793,0.04939378
dwi_sin,SDG,None,PCA,0.001,0.2,None,epsilon_insensitive,150,-0.69976718,0.0475114
dwi_sin,SDG,None,PCA,0.001,0.2,None,squared_epsilon_insensitive,100,-0.70980953,0.02705718
dwi_sin,SDG,None,PCA,0.001,0.2,None,squared_epsilon_insensitive,150,-0.68744006,0.02719097
dwi_sin,SDG,None,PCA,0.001,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.001,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.001,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.001,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.01,0.01,None,epsilon_insensitive,100,-0.70860223,0.02622124
dwi_sin,SDG,None,PCA,0.01,0.01,None,epsilon_insensitive,150,-0.70156882,0.02712235
dwi_sin,SDG,None,PCA,0.01,0.01,None,squared_epsilon_insensitive,100,-0.71133774,0.02747541
dwi_sin,SDG,None,PCA,0.01,0.01,None,squared_epsilon_insensitive,150,-0.69342985,0.03099649
dwi_sin,SDG,None,PCA,0.01,0.1,None,epsilon_insensitive,100,-0.71195118,0.03310818
dwi_sin,SDG,None,PCA,0.01,0.1,None,epsilon_insensitive,150,-0.7044576,0.03260926
dwi_sin,SDG,None,PCA,0.01,0.1,None,squared_epsilon_insensitive,100,-0.71108477,0.02995217
dwi_sin,SDG,None,PCA,0.01,0.1,None,squared_epsilon_insensitive,150,-0.69428136,0.02951923
dwi_sin,SDG,None,PCA,0.01,0.2,None,epsilon_insensitive,100,-0.7133575,0.0483721
dwi_sin,SDG,None,PCA,0.01,0.2,None,epsilon_insensitive,150,-0.7056086,0.04740074
dwi_sin,SDG,None,PCA,0.01,0.2,None,squared_epsilon_insensitive,100,-0.71475609,0.02134856
dwi_sin,SDG,None,PCA,0.01,0.2,None,squared_epsilon_insensitive,150,-0.69773736,0.02222216
dwi_sin,SDG,None,PCA,0.01,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.01,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.01,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.01,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.1,0.01,None,epsilon_insensitive,100,-0.7086377,0.02704376
dwi_sin,SDG,None,PCA,0.1,0.01,None,epsilon_insensitive,150,-0.70663669,0.02675907
dwi_sin,SDG,None,PCA,0.1,0.01,None,squared_epsilon_insensitive,100,-0.71178359,0.02605357
dwi_sin,SDG,None,PCA,0.1,0.01,None,squared_epsilon_insensitive,150,-0.70710615,0.02667183
dwi_sin,SDG,None,PCA,0.1,0.1,None,epsilon_insensitive,100,-0.71197077,0.03578749
dwi_sin,SDG,None,PCA,0.1,0.1,None,epsilon_insensitive,150,-0.70950621,0.03473438
dwi_sin,SDG,None,PCA,0.1,0.1,None,squared_epsilon_insensitive,100,-0.7126315,0.03026437
dwi_sin,SDG,None,PCA,0.1,0.1,None,squared_epsilon_insensitive,150,-0.71163416,0.03133625
dwi_sin,SDG,None,PCA,0.1,0.2,None,epsilon_insensitive,100,-0.71365265,0.04838339
dwi_sin,SDG,None,PCA,0.1,0.2,None,epsilon_insensitive,150,-0.7120173,0.04885435
dwi_sin,SDG,None,PCA,0.1,0.2,None,squared_epsilon_insensitive,100,-0.71325035,0.02729153
dwi_sin,SDG,None,PCA,0.1,0.2,None,squared_epsilon_insensitive,150,-0.71130782,0.02419407
dwi_sin,SDG,None,PCA,0.1,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.1,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.1,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,PCA,0.1,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,StandardScaler,None,0.0001,0.01,None,epsilon_insensitive,100,-0.47770954,0.06158788
dwi_sin,SDG,StandardScaler,None,0.0001,0.01,None,epsilon_insensitive,150,-0.47955728,0.06874359
dwi_sin,SDG,StandardScaler,None,0.0001,0.01,None,squared_epsilon_insensitive,100,-0.47084296,0.05263499
dwi_sin,SDG,StandardScaler,None,0.0001,0.01,None,squared_epsilon_insensitive,150,-0.47410993,0.06101566
dwi_sin,SDG,StandardScaler,None,0.0001,0.1,None,epsilon_insensitive,100,-0.47538443,0.0603371
dwi_sin,SDG,StandardScaler,None,0.0001,0.1,None,epsilon_insensitive,150,-0.47830476,0.0686078
dwi_sin,SDG,StandardScaler,None,0.0001,0.1,None,squared_epsilon_insensitive,100,-0.47770251,0.0489997
dwi_sin,SDG,StandardScaler,None,0.0001,0.1,None,squared_epsilon_insensitive,150,-0.48003373,0.05897623
dwi_sin,SDG,StandardScaler,None,0.0001,0.2,None,epsilon_insensitive,100,-0.47381077,0.05954077
dwi_sin,SDG,StandardScaler,None,0.0001,0.2,None,epsilon_insensitive,150,-0.47733244,0.06597375
dwi_sin,SDG,StandardScaler,None,0.0001,0.2,None,squared_epsilon_insensitive,100,-0.48376514,0.04509735
dwi_sin,SDG,StandardScaler,None,0.0001,0.2,None,squared_epsilon_insensitive,150,-0.48623864,0.05179839
dwi_sin,SDG,StandardScaler,None,0.0001,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,StandardScaler,None,0.0001,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,StandardScaler,None,0.0001,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,StandardScaler,None,0.0001,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
